target,model,benchmark,origin,information_cutoff,reference_month,horizon_months,point,p10,p25,p75,p90,benchmark_point
headline_mom,seasonal_index_mom,seasonal_naive,2026-08,2026-06,2026-08,0,0.049,-0.36,-0.124,0.08,0.665,-0.1
headline_mom,seasonal_index_mom,seasonal_naive,2026-08,2026-06,2026-09,1,0.499,0.081,0.328,0.524,1.104,0.5
headline_mom,seasonal_index_mom,seasonal_naive,2026-08,2026-06,2026-10,2,0.052,-0.416,-0.177,0.191,0.652,0.0
headline_mom,seasonal_index_mom,seasonal_naive,2026-08,2026-06,2026-11,3,0.002,-0.365,-0.259,0.099,0.337,0.0
headline_mom,seasonal_index_mom,seasonal_naive,2026-08,2026-06,2026-12,4,1.014,0.615,0.708,1.143,1.406,1.0
headline_mom,seasonal_index_mom,seasonal_naive,2026-08,2026-06,2027-01,5,0.071,-0.341,-0.315,0.208,0.513,0.4
headline_mom,seasonal_index_mom,seasonal_naive,2026-08,2026-06,2027-02,6,0.124,-0.303,-0.254,0.314,0.664,0.0
headline_mom,seasonal_index_mom,seasonal_naive,2026-08,2026-06,2027-03,7,0.364,,,,,1.1
headline_mom,seasonal_index_mom,seasonal_naive,2026-08,2026-06,2027-04,8,0.747,,,,,0.4
headline_mom,seasonal_index_mom,seasonal_naive,2026-08,2026-06,2027-05,9,-0.233,,,,,-0.7
headline_mom,seasonal_index_mom,seasonal_naive,2026-08,2026-06,2027-06,10,0.279,,,,,-0.1
headline_mom,seasonal_index_mom,seasonal_naive,2026-08,2026-06,2027-07,11,0.717,,,,,1.3
headline_mom,seasonal_index_mom,seasonal_naive,2026-08,2026-06,2027-08,12,0.049,,,,,-0.1
headline_yoy,seasonal_index_projection,random_walk,2026-08,2026-06,2026-08,0,3.263,2.849,3.069,3.271,3.898,3.8
headline_yoy,seasonal_index_projection,random_walk,2026-08,2026-06,2026-09,1,3.311,2.539,3.162,3.641,4.001,3.8
headline_yoy,seasonal_index_projection,random_walk,2026-08,2026-06,2026-10,2,3.376,3.104,3.157,3.812,4.074,3.8
headline_yoy,seasonal_index_projection,random_walk,2026-08,2026-06,2026-11,3,3.357,2.8,3.033,3.733,3.98,3.8
headline_yoy,seasonal_index_projection,random_walk,2026-08,2026-06,2026-12,4,3.412,3.011,3.098,3.797,3.894,3.8
headline_yoy,seasonal_index_projection,random_walk,2026-08,2026-06,2027-01,5,3.118,2.655,2.843,3.511,3.645,3.8
headline_yoy,seasonal_index_projection,random_walk,2026-08,2026-06,2027-02,6,3.266,2.51,2.805,3.764,3.937,3.8
headline_yoy,seasonal_index_projection,random_walk,2026-08,2026-06,2027-03,7,2.499,,,,,3.8
headline_yoy,seasonal_index_projection,random_walk,2026-08,2026-06,2027-04,8,2.903,,,,,3.8
headline_yoy,seasonal_index_projection,random_walk,2026-08,2026-06,2027-05,9,3.378,,,,,3.8
headline_yoy,seasonal_index_projection,random_walk,2026-08,2026-06,2027-06,10,3.727,,,,,3.8
headline_yoy,seasonal_index_projection,random_walk,2026-08,2026-06,2027-07,11,3.74,,,,,3.8
headline_yoy,seasonal_index_projection,random_walk,2026-08,2026-06,2027-08,12,3.74,,,,,3.8
trimmed_mean_yoy,index_projection,random_walk,2026-08,2026-06,2026-08,0,3.474,3.385,3.41,3.531,3.587,3.6
trimmed_mean_yoy,index_projection,random_walk,2026-08,2026-06,2026-09,1,3.513,3.356,3.468,3.563,3.648,3.6
trimmed_mean_yoy,index_projection,random_walk,2026-08,2026-06,2026-10,2,3.488,3.374,3.396,3.54,3.669,3.6
trimmed_mean_yoy,index_projection,random_walk,2026-08,2026-06,2026-11,3,3.541,3.397,3.476,3.576,3.656,3.6
trimmed_mean_yoy,index_projection,random_walk,2026-08,2026-06,2026-12,4,3.596,3.486,3.515,3.623,3.807,3.6
trimmed_mean_yoy,index_projection,random_walk,2026-08,2026-06,2027-01,5,3.576,3.407,3.5,3.608,3.733,3.6
trimmed_mean_yoy,index_projection,random_walk,2026-08,2026-06,2027-02,6,3.671,3.571,3.584,3.675,3.847,3.6
trimmed_mean_yoy,index_projection,random_walk,2026-08,2026-06,2027-03,7,3.719,,,,,3.6
trimmed_mean_yoy,index_projection,random_walk,2026-08,2026-06,2027-04,8,3.706,,,,,3.6
trimmed_mean_yoy,index_projection,random_walk,2026-08,2026-06,2027-05,9,3.626,,,,,3.6
trimmed_mean_yoy,index_projection,random_walk,2026-08,2026-06,2027-06,10,3.645,,,,,3.6
trimmed_mean_yoy,index_projection,random_walk,2026-08,2026-06,2027-07,11,3.645,,,,,3.6
trimmed_mean_yoy,index_projection,random_walk,2026-08,2026-06,2027-08,12,3.645,,,,,3.6
