made_at,reference_month,horizon_months,target,point,information_cutoff,p10,p25,p75,p90,model,model_version,git_sha,benchmark_name,benchmark_point,actual,note
2026-07-30T05:17:28.592555+00:00,2026-07,0,headline_mom,1.3,2026-06,,,,,seasonal_naive,v0-naive,539ae70,mean_mom,0.317,,h=0; prints 2026-08-26
2026-07-30T05:17:28.592555+00:00,2026-08,1,headline_mom,-0.1,2026-06,,,,,seasonal_naive,v0-naive,539ae70,mean_mom,0.317,,h=1; prints 2026-09-30
2026-07-30T05:17:28.592555+00:00,2026-09,2,headline_mom,0.5,2026-06,,,,,seasonal_naive,v0-naive,539ae70,mean_mom,0.317,,h=2; prints 2026-10-28
2026-07-30T05:17:28.592555+00:00,2026-10,3,headline_mom,0.0,2026-06,,,,,seasonal_naive,v0-naive,539ae70,mean_mom,0.317,,h=3; prints 2026-11-25
2026-07-30T05:17:28.592555+00:00,2026-11,4,headline_mom,0.0,2026-06,,,,,seasonal_naive,v0-naive,539ae70,mean_mom,0.317,,h=4; prints 2027-01-06
2026-07-30T05:17:28.592555+00:00,2026-12,5,headline_mom,1.0,2026-06,,,,,seasonal_naive,v0-naive,539ae70,mean_mom,0.317,,h=5; release date not in calendar
2026-07-30T05:17:28.592555+00:00,2027-01,6,headline_mom,0.4,2026-06,,,,,seasonal_naive,v0-naive,539ae70,mean_mom,0.317,,h=6; release date not in calendar
2026-07-30T05:17:28.592555+00:00,2027-02,7,headline_mom,0.0,2026-06,,,,,seasonal_naive,v0-naive,539ae70,mean_mom,0.317,,h=7; release date not in calendar
2026-07-30T05:17:28.592555+00:00,2027-03,8,headline_mom,1.1,2026-06,,,,,seasonal_naive,v0-naive,539ae70,mean_mom,0.317,,h=8; release date not in calendar
2026-07-30T05:17:28.592555+00:00,2027-04,9,headline_mom,0.4,2026-06,,,,,seasonal_naive,v0-naive,539ae70,mean_mom,0.317,,h=9; release date not in calendar
2026-07-30T05:17:28.592555+00:00,2027-05,10,headline_mom,-0.7,2026-06,,,,,seasonal_naive,v0-naive,539ae70,mean_mom,0.317,,h=10; release date not in calendar
2026-07-30T05:17:28.592555+00:00,2027-06,11,headline_mom,-0.1,2026-06,,,,,seasonal_naive,v0-naive,539ae70,mean_mom,0.317,,h=11; release date not in calendar
2026-07-30T05:17:28.592555+00:00,2027-07,12,headline_mom,1.3,2026-06,,,,,seasonal_naive,v0-naive,539ae70,mean_mom,0.317,,h=12; release date not in calendar
2026-07-30T05:17:28.609559+00:00,2026-07,0,headline_yoy,3.13,2026-06,,,,,seasonal_index_projection,v2-seasonal-index,539ae70,random_walk,3.8,,h=0; prints 2026-08-26
2026-07-30T05:17:28.609559+00:00,2026-08,1,headline_yoy,3.263,2026-06,,,,,seasonal_index_projection,v2-seasonal-index,539ae70,random_walk,3.8,,h=1; prints 2026-09-30
